DATE,TOTAL,TIME,MEAN,SO2 TIME,MEAN,Location
2018-01-01 00:00:00,11,2018-01-01 00:00:00,1.60717351e-07,2018-01-01 00:00:00,1.2029634e-09,GENERAL HOSPITAL OTUN
2018-02-01 00:00:00,10,2018-02-01 00:00:00,8.34819534e-08,2018-02-01 00:00:00,4.62903021e-10,GENERAL HOSPITAL OTUN
2018-03-01 00:00:00,7,2018-03-01 00:00:00,5.04814851e-08,2018-03-01 00:00:00,2.98401526e-10,GENERAL HOSPITAL OTUN
2018-04-01 00:00:00,3,2018-04-01 00:00:00,5.45386621e-08,2018-04-01 00:00:00,2.43549708e-10,GENERAL HOSPITAL OTUN
2018-05-01 00:00:00,5,2018-05-01 00:00:00,2.77330561e-08,2018-05-01 00:00:00,2.38349479e-10,GENERAL HOSPITAL OTUN
2018-06-01 00:00:00,11,2018-06-01 00:00:00,1.9972952e-08,2018-06-01 00:00:00,2.1675213e-10,GENERAL HOSPITAL OTUN
2018-07-01 00:00:00,7,2018-07-01 00:00:00,1.41780638e-08,2018-07-01 00:00:00,2.08762188e-10,GENERAL HOSPITAL OTUN
2018-08-01 00:00:00,10,2018-08-01 00:00:00,9.75834667e-09,2018-08-01 00:00:00,1.7507823e-10,GENERAL HOSPITAL OTUN
2018-09-01 00:00:00,8,2018-09-01 00:00:00,1.48157016e-08,2018-09-01 00:00:00,2.1563977e-10,GENERAL HOSPITAL OTUN
2018-10-01 00:00:00,10,2018-10-01 00:00:00,2.69173784e-08,2018-10-01 00:00:00,3.34372863e-10,GENERAL HOSPITAL OTUN
2018-11-01 00:00:00,20,2018-11-01 00:00:00,4.15820481e-08,2018-11-01 00:00:00,6.44703735e-10,GENERAL HOSPITAL OTUN
2018-12-01 00:00:00,21,2018-12-01 00:00:00,1.29090085e-07,2018-12-01 00:00:00,9.55358237e-10,GENERAL HOSPITAL OTUN
2019-01-01 00:00:00,8,2019-01-01 00:00:00,9.16957153e-08,2019-01-01 00:00:00,7.4669565e-10,GENERAL HOSPITAL OTUN
2019-02-01 00:00:00,4,2019-02-01 00:00:00,1.02343443e-07,2019-02-01 00:00:00,7.41314843e-10,GENERAL HOSPITAL OTUN
2019-03-01 00:00:00,12,2019-03-01 00:00:00,5.79048692e-08,2019-03-01 00:00:00,4.350654e-10,GENERAL HOSPITAL OTUN
2019-04-01 00:00:00,3,2019-04-01 00:00:00,4.38486584e-08,2019-04-01 00:00:00,3.13074011e-10,GENERAL HOSPITAL OTUN
2019-05-01 00:00:00,1,2019-05-01 00:00:00,2.5598587e-08,2019-05-01 00:00:00,2.61942273e-10,GENERAL HOSPITAL OTUN
2019-06-01 00:00:00,3,2019-06-01 00:00:00,1.55283437e-08,2019-06-01 00:00:00,1.97614466e-10,GENERAL HOSPITAL OTUN
2019-07-01 00:00:00,4,2019-07-01 00:00:00,1.31761686e-08,2019-07-01 00:00:00,1.9827634e-10,GENERAL HOSPITAL OTUN
2019-08-01 00:00:00,4,2019-08-01 00:00:00,9.18502899e-09,2019-08-01 00:00:00,1.82497711e-10,GENERAL HOSPITAL OTUN
2019-09-01 00:00:00,3,2019-09-01 00:00:00,1.81939089e-08,2019-09-01 00:00:00,2.23309801e-10,GENERAL HOSPITAL OTUN
2019-10-01 00:00:00,7,2019-10-01 00:00:00,1.83798129e-08,2019-10-01 00:00:00,2.56597549e-10,GENERAL HOSPITAL OTUN
2019-11-01 00:00:00,7,2019-11-01 00:00:00,3.36966561e-08,2019-11-01 00:00:00,6.06950656e-10,GENERAL HOSPITAL OTUN
2019-12-01 00:00:00,10,2019-12-01 00:00:00,6.33764762e-08,2019-12-01 00:00:00,8.45488568e-10,GENERAL HOSPITAL OTUN
2020-01-01 00:00:00,8,2020-01-01 00:00:00,1.6398006e-07,2020-01-01 00:00:00,9.83687243e-10,GENERAL HOSPITAL OTUN
2020-02-01 00:00:00,3,2020-02-01 00:00:00,1.52788748e-07,2020-02-01 00:00:00,9.31193567e-10,GENERAL HOSPITAL OTUN
2020-03-01 00:00:00,6,2020-03-01 00:00:00,6.33438989e-08,2020-03-01 00:00:00,3.5832376e-10,GENERAL HOSPITAL OTUN
2020-04-01 00:00:00,6,2020-04-01 00:00:00,4.67374186e-08,2020-04-01 00:00:00,2.62068811e-10,GENERAL HOSPITAL OTUN
2020-05-01 00:00:00,2,2020-05-01 00:00:00,2.94965079e-08,2020-05-01 00:00:00,2.62665084e-10,GENERAL HOSPITAL OTUN
2020-06-01 00:00:00,1,2020-06-01 00:00:00,1.93505652e-08,2020-06-01 00:00:00,2.16670501e-10,GENERAL HOSPITAL OTUN
2020-07-01 00:00:00,2,2020-07-01 00:00:00,1.10376836e-08,2020-07-01 00:00:00,1.49835588e-10,GENERAL HOSPITAL OTUN
2020-08-01 00:00:00,2,2020-08-01 00:00:00,1.03641432e-08,2020-08-01 00:00:00,1.44165055e-10,GENERAL HOSPITAL OTUN
2020-09-01 00:00:00,4,2020-09-01 00:00:00,1.30499789e-08,2020-09-01 00:00:00,2.01029374e-10,GENERAL HOSPITAL OTUN
2020-10-01 00:00:00,6,2020-10-01 00:00:00,2.8782211e-08,2020-10-01 00:00:00,3.55017987e-10,GENERAL HOSPITAL OTUN
2020-11-01 00:00:00,8,2020-11-01 00:00:00,5.92941875e-08,2020-11-01 00:00:00,6.56824095e-10,GENERAL HOSPITAL OTUN
2020-12-01 00:00:00,7,2020-12-01 00:00:00,6.69945091e-08,2020-12-01 00:00:00,6.23288421e-10,GENERAL HOSPITAL OTUN
2021-01-01 00:00:00,9,2021-01-01 00:00:00,9.38942078e-08,2021-01-01 00:00:00,7.75661535e-10,GENERAL HOSPITAL OTUN
2021-02-01 00:00:00,12,2021-02-01 00:00:00,1.42711837e-07,2021-02-01 00:00:00,5.85310689e-10,GENERAL HOSPITAL OTUN
2021-03-01 00:00:00,8,2021-03-01 00:00:00,9.03533386e-08,2021-03-01 00:00:00,4.28447333e-10,GENERAL HOSPITAL OTUN
2021-04-01 00:00:00,3,2021-04-01 00:00:00,5.13340973e-08,2021-04-01 00:00:00,3.87055721e-10,GENERAL HOSPITAL OTUN
2021-05-01 00:00:00,2,2021-05-01 00:00:00,2.42015776e-08,2021-05-01 00:00:00,2.76062062e-10,GENERAL HOSPITAL OTUN
2021-06-01 00:00:00,5,2021-06-01 00:00:00,2.20697708e-08,2021-06-01 00:00:00,3.43097994e-10,GENERAL HOSPITAL OTUN
2021-07-01 00:00:00,2,2021-07-01 00:00:00,1.74562108e-08,2021-07-01 00:00:00,1.97920569e-10,GENERAL HOSPITAL OTUN
2021-08-01 00:00:00,7,2021-08-01 00:00:00,1.10469955e-08,2021-08-01 00:00:00,2.079584e-10,GENERAL HOSPITAL OTUN
2021-09-01 00:00:00,5,2021-09-01 00:00:00,2.00717503e-08,2021-09-01 00:00:00,2.94223423e-10,GENERAL HOSPITAL OTUN
2021-10-01 00:00:00,4,2021-10-01 00:00:00,2.75119785e-08,2021-10-01 00:00:00,3.20735744e-10,GENERAL HOSPITAL OTUN
2021-11-01 00:00:00,5,2021-11-01 00:00:00,3.73834729e-08,2021-11-01 00:00:00,4.92197061e-10,GENERAL HOSPITAL OTUN
2021-12-01 00:00:00,14,2021-12-01 00:00:00,1.32860039e-07,2021-12-01 00:00:00,8.0028828e-10,GENERAL HOSPITAL OTUN
2022-01-01 00:00:00,13,2022-01-01 00:00:00,1.2293317e-07,2022-01-01 00:00:00,1.10247322e-09,GENERAL HOSPITAL OTUN
2022-02-01 00:00:00,8,2022-02-01 00:00:00,1.43393865e-07,2022-02-01 00:00:00,7.5933182e-10,GENERAL HOSPITAL OTUN
2022-03-01 00:00:00,8,2022-03-01 00:00:00,9.6605217e-08,2022-03-01 00:00:00,3.55290464e-10,GENERAL HOSPITAL OTUN
2022-04-01 00:00:00,6,2022-04-01 00:00:00,4.09320099e-08,2022-04-01 00:00:00,3.41938727e-10,GENERAL HOSPITAL OTUN
2022-05-01 00:00:00,3,2022-05-01 00:00:00,3.6054728e-08,2022-05-01 00:00:00,2.89807539e-10,GENERAL HOSPITAL OTUN
2022-06-01 00:00:00,2,2022-06-01 00:00:00,2.21797996e-08,2022-06-01 00:00:00,2.88228386e-10,GENERAL HOSPITAL OTUN
2022-07-01 00:00:00,1,2022-07-01 00:00:00,1.6192922e-08,2022-07-01 00:00:00,1.95268191e-10,GENERAL HOSPITAL OTUN
2022-08-01 00:00:00,3,2022-08-01 00:00:00,1.1045045e-08,2022-08-01 00:00:00,1.69119233e-10,GENERAL HOSPITAL OTUN
2022-09-01 00:00:00,8,2022-09-01 00:00:00,1.14700185e-08,2022-09-01 00:00:00,1.9509637e-10,GENERAL HOSPITAL OTUN
2022-10-01 00:00:00,10,2022-10-01 00:00:00,3.94551496e-08,2022-10-01 00:00:00,4.37100828e-10,GENERAL HOSPITAL OTUN
2022-11-01 00:00:00,15,2022-11-01 00:00:00,5.4909469e-08,2022-11-01 00:00:00,6.69470701e-10,GENERAL HOSPITAL OTUN
2022-12-01 00:00:00,17,2022-12-01 00:00:00,7.32569918e-08,2022-12-01 00:00:00,8.36454794e-10,GENERAL HOSPITAL OTUN

